date,apple,samsung,smartphone,isPartial
2018-01-12 01:00:00,0,28,0,False
2018-01-12 02:00:00,100,0,0,False
2018-01-12 03:00:00,0,86,0,False
2018-01-12 04:00:00,0,0,31,False
2018-01-12 05:00:00,43,0,0,False
2018-01-12 06:00:00,16,18,19,False
2018-01-12 07:00:00,12,21,0,False
2018-01-12 08:00:00,9,19,0,False
2018-01-12 09:00:00,12,18,2,False
2018-01-12 10:00:00,11,29,0,False
2018-01-12 11:00:00,15,26,0,False
2018-01-12 12:00:00,17,25,4,False
2018-01-12 13:00:00,14,29,2,False
2018-01-12 14:00:00,13,29,0,False
2018-01-12 15:00:00,22,24,0,False
2018-01-12 16:00:00,11,30,0,False
2018-01-12 17:00:00,21,29,1,False
2018-01-12 18:00:00,21,25,0,False
2018-01-12 19:00:00,17,31,0,False
2018-01-12 20:00:00,13,30,3,False
2018-01-12 21:00:00,13,32,0,False
2018-01-12 22:00:00,11,32,0,False
2018-01-12 23:00:00,20,33,0,False
2018-01-13 00:00:00,23,24,0,False
2018-01-13 01:00:00,0,29,0,False
2018-01-13 02:00:00,20,40,24,False
2018-01-13 03:00:00,0,0,0,False
2018-01-13 04:00:00,0,0,0,False
2018-01-13 05:00:00,29,51,0,False
2018-01-13 06:00:00,9,35,0,False
2018-01-13 07:00:00,18,36,0,False
2018-01-13 08:00:00,14,27,6,False
2018-01-13 09:00:00,16,35,3,False
2018-01-13 10:00:00,19,28,0,False
2018-01-13 11:00:00,9,36,0,False
2018-01-13 12:00:00,13,34,2,False
2018-01-13 13:00:00,16,33,0,False
2018-01-13 14:00:00,8,28,0,False
2018-01-13 15:00:00,18,27,0,False
2018-01-13 16:00:00,10,26,0,False
2018-01-13 17:00:00,18,33,3,False
2018-01-13 18:00:00,11,34,2,False
2018-01-13 19:00:00,16,32,0,False
2018-01-13 20:00:00,18,34,0,False
2018-01-13 21:00:00,7,24,0,False
2018-01-13 22:00:00,14,24,3,False
2018-01-13 23:00:00,19,35,6,False
2018-01-14 00:00:00,12,44,0,False
2018-01-14 01:00:00,11,32,0,False
2018-01-14 02:00:00,0,39,0,False
2018-01-14 03:00:00,0,50,0,False
2018-01-14 04:00:00,0,27,44,False
2018-01-14 05:00:00,0,64,0,False
2018-01-14 06:00:00,0,15,11,False
2018-01-14 07:00:00,11,28,0,False
2018-01-14 08:00:00,20,29,8,False
2018-01-14 09:00:00,15,23,0,False
2018-01-14 10:00:00,20,32,0,False
2018-01-14 11:00:00,21,20,2,False
2018-01-14 12:00:00,15,26,2,False
2018-01-14 13:00:00,14,31,2,False
2018-01-14 14:00:00,16,20,1,False
2018-01-14 15:00:00,13,28,2,False
2018-01-14 16:00:00,19,22,2,False
2018-01-14 17:00:00,15,23,2,False
2018-01-14 18:00:00,13,24,0,False
2018-01-14 19:00:00,12,26,0,False
2018-01-14 20:00:00,9,23,0,False
2018-01-14 21:00:00,11,25,1,False
2018-01-14 22:00:00,18,24,0,False
2018-01-14 23:00:00,21,26,0,False
2018-01-15 00:00:00,7,21,0,False
2018-01-29 00:00:00,31,21,0,False
2018-01-29 01:00:00,0,45,18,False
2018-01-29 02:00:00,39,0,0,False
2018-01-29 03:00:00,0,0,0,False
2018-01-29 04:00:00,0,0,0,False
2018-01-29 05:00:00,0,0,24,False
2018-01-29 06:00:00,27,25,0,False
2018-01-29 07:00:00,0,19,16,False
2018-01-29 08:00:00,15,18,0,False
2018-01-29 09:00:00,17,40,6,False
2018-01-29 10:00:00,26,33,3,False
2018-01-29 11:00:00,19,32,0,False
2018-01-29 12:00:00,14,33,3,False
2018-01-29 13:00:00,29,41,3,False
2018-01-29 14:00:00,25,51,2,False
2018-01-29 15:00:00,12,41,0,False
2018-01-29 16:00:00,15,42,0,False
2018-01-29 17:00:00,22,37,0,False
2018-01-29 18:00:00,19,37,0,False
2018-01-29 19:00:00,14,36,0,False
2018-01-29 20:00:00,17,44,0,False
2018-01-29 21:00:00,19,44,0,False
2018-01-29 22:00:00,17,29,3,False
2018-01-29 23:00:00,34,43,0,False
2018-01-30 00:00:00,27,35,0,False
2018-01-30 01:00:00,26,47,0,False
2018-01-30 02:00:00,0,35,0,False
2018-01-30 03:00:00,46,0,0,False
2018-01-30 04:00:00,0,0,53,False
2018-01-30 05:00:00,0,52,20,False
2018-01-30 06:00:00,13,20,0,False
2018-01-30 07:00:00,17,19,0,False
2018-01-30 08:00:00,6,34,0,False
2018-01-30 09:00:00,17,26,0,False
2018-01-30 10:00:00,15,19,6,False
2018-01-30 11:00:00,20,41,5,False
2018-01-30 12:00:00,13,40,0,False
2018-01-30 13:00:00,22,33,2,False
